MSFT
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-01,234.6,235.74,227.325,228.17,225.529,30592270
2022-11-02,229.46,231.3,220.04,220.1,217.5524,38407008
2022-11-03,220.09,220.41,213.98,214.25,211.7702,36633922
2022-11-04,217.55,221.59,213.431,221.39,218.8275,36789059
2022-11-07,221.99,228.41,221.28,227.87,225.2325,33497980
2022-11-08,228.7,231.65,225.84,228.87,226.2209,28192551
2022-11-09,227.37,228.6327,224.33,224.51,221.9114,27852910
2022-11-10,235.43,243.33,235,242.98,240.1676,46268020
2022-11-11,242.99,247.99,241.93,247.11,244.2498,34620246
2022-11-14,241.985,243.91,239.21,241.55,238.7542,31123340
2022-11-15,245.66,247,240.03,241.97,239.1693,31390119
2022-11-16,242.79,243.8,240.42,241.73,239.6054,24093270
2022-11-17,237.78,243.25,237.63,241.68,239.5559,23123539
2022-11-18,243.51,243.74,239.03,241.22,239.0999,27613520
2022-11-21,241.43,244.67,241.19,242.05,239.9226,26394699
2022-11-22,243.59,245.31,240.71,245.03,242.8764,19665699
2022-11-23,245.105,248.28,244.27,247.58,245.404,19508461
2022-11-25,247.31,248.7,246.73,247.49,245.3148,9200772
2022-11-28,246.08,246.65,240.8,241.76,239.6352,24810270
2022-11-29,241.4,242.79,238.21,240.33,238.2177,17956311
2022-11-30,240.57,255.33,239.86,255.14,252.8976,47594238

MSFT
Date,Open,High,Low,Close,Adjusted_close,Volume
2023-11-01,339.79,347.42,339.65,346.07,345.369,28158820
2023-11-02,347.24,348.83,344.77,348.32,347.6145,24348070
2023-11-03,349.63,354.39,347.33,352.8,352.0854,23637670
2023-11-06,353.45,357.54,353.35,356.53,355.8078,23828301
2023-11-07,359.4,362.46,357.63,360.53,359.7997,25833930
2023-11-08,361.68,363.87,360.55,363.2,362.4643,26767830
2023-11-09,362.3,364.79,360.362,360.69,359.9594,24847330
2023-11-10,361.49,370.1,361.07,369.67,368.9212,28065160
2023-11-13,368.22,368.47,365.9,366.68,365.9373,19986500
2023-11-14,371.01,371.95,367.35,370.27,369.52,27683900
2023-11-15,371.28,373.13,367.11,369.67,369.67,26860100
2023-11-16,370.96,376.35,370.18,376.17,376.17,27182300
2023-11-17,373.61,374.37,367,369.85,369.85,40157000
2023-11-20,371.22,378.87,371,377.44,377.44,52465100
2023-11-21,375.67,376.22,371.12,373.07,373.07,28423100
2023-11-22,378,379.79,374.97,377.85,377.85,23345300
2023-11-24,377.33,377.97,375.14,377.43,377.43,10176600
2023-11-27,376.78,380.64,376.2,378.61,378.61,22179200
2023-11-28,378.35,383,378.16,382.7,382.7,20453100
2023-11-29,383.76,384.3,377.44,378.85,378.85,28963400
2023-11-30,378.49,380.09,375.47,378.91,378.91,30531000

